serial_no,race,education,income,gender,age,relationship
0005762,47,10,000000,2,69,09
0005762,47,03,000000,2,93,11
0005777,37,09,028000,1,39,01
0005777,37,09,007000,2,38,02
0005777,37,00,,1,02,03
0005783,47,06,010000,1,37,01
0005783,47,09,015000,2,45,19
0005784,47,13,017000,2,35,01
0005784,47,03,,2,11,03
0005784,47,05,000000,1,64,07
0005801,47,11,029500,2,40,01
0005801,47,11,032000,1,48,02
0005801,47,03,,1,12,03
0005801,47,09,000000,1,84,07
0005801,47,12,000000,2,72,07
0005807,47,09,024000,1,59,01
0005807,47,09,010300,2,53,02
0005820,47,14,069000,1,68,01
0005820,47,13,042400,2,65,02
0005823,47,09,000000,2,67,01
0005823,47,04,008500,1,68,02
0005823,47,09,000000,1,42,03
0005823,47,01,000000,2,89,07
0005830,47,10,002000,1,18,23
0005870,47,14,048000,1,55,01
0005870,47,11,052000,2,55,02
0005891,47,09,000000,2,69,01
0005891,47,09,000000,1,60,19
0005974,47,13,020000,2,51,01
0005979,37,02,000000,2,67,22
0006011,47,09,000000,2,93,01
0006011,47,08,000000,2,84,06
0006192,47,10,001100,2,20,01
0006192,47,09,027200,1,24,02
0006192,47,00,,1,00,03
0006192,47,09,002800,2,18,18
0006243,47,06,040000,1,41,01
0006273,47,11,000000,2,89,22
0006298,47,12,036000,2,42,01
0006298,47,11,031200,1,44,02
0006298,47,09,025100,1,21,03
0006298,47,01,,1,08,03
0006298,47,01,,2,05,03
0006299,47,13,033000,2,54,01
0006299,47,13,035000,1,53,02
0006317,47,03,000000,1,68,23
0006342,47,14,062000,1,53,01
0006350,47,13,000000,1,84,01
0006350,47,13,000000,2,74,02
0006350,47,03,017700,1,41,03
0006386,37,06,000000,1,48,01
0006386,37,06,020000,2,48,02
0006386,37,07,000000,2,18,03
0006386,37,07,000000,2,19,18
0006394,37,09,000000,1,36,22
0006448,47,12,044500,1,42,01
0006448,47,05,000000,2,38,02
0006448,47,10,000000,2,19,03
0006470,47,13,085000,2,62,01
0006502,47,09,021000,2,87,01
0006535,47,15,133000,1,54,01
0006535,47,13,056000,2,45,02
0006535,47,04,,1,14,03
0006555,28,15,011600,1,51,01
0006555,28,14,016700,2,42,02
0006555,28,09,004200,1,18,03
0006555,28,06,000000,2,16,05
0006566,47,02,000000,2,76,01
0006625,47,13,054000,1,26,01
0006625,01,12,045000,2,26,02
0006625,01,09,016500,2,45,09
0006649,47,04,010000,2,49,01
0006673,47,14,000000,1,48,01
0006673,20,16,046200,2,48,02
0006673,20,03,,2,12,03
0006784,47,07,000000,2,74,01
0006791,37,03,028000,1,44,01
0006791,37,06,001700,2,34,02
0006791,37,06,000000,2,16,03
0006791,37,04,,2,13,03
0006791,37,03,,1,11,03
0006791,37,02,,2,10,03
0006802,47,11,000000,1,71,01
0006802,47,11,000000,2,77,02
0006874,47,09,026700,1,27,01
0006874,47,11,024400,2,29,02
0006874,47,00,,2,01,03
0006958,47,11,003500,2,19,23
0006995,47,07,000000,1,82,01
0006995,47,12,000000,2,78,02
0007020,47,11,049000,1,37,01
0007020,47,09,014000,2,44,02
0007020,47,09,017000,2,23,03
0007020,47,03,,1,14,03
0007038,37,11,000000,1,38,01
0007038,37,11,000000,2,33,02
0007045,37,11,013000,2,46,01
